Product Name                          	 Date      	 Vehicle No.     	 Qty.            	 Rate      	 Amount
To, AVADH MINARALS                    	           	 Statement Date :	                 	 12/05/2025	 
Diesel                                	 02/04/2024	 7567            	 60.46           	 90.33     	 5461.00
Diesel                                	 02/04/2024	 0906            	 55.76           	 90.33     	 5037.00
Diesel                                	 08/04/2024	 0021            	 2000            	 90.33     	 180660.00
Diesel                                	 08/04/2024	 0021            	 800             	 90.33     	 72264.00
Diesel                                	 17/04/2024	 0021            	 2000            	 90.33     	 180660.00
Diesel                                	 17/04/2024	 0021            	 1000            	 90.33     	 90330.00
Diesel                                	 24/04/2024	 7567            	 55              	 90.33     	 4968.00
Diesel                                	 25/04/2024	 0021            	 1200            	 90.33     	 108396.00
Diesel                                	 28/04/2024	 0906            	 59              	 90.33     	 5329.00
Diesel                                	 30/04/2024	 7567            	 60              	 90.33     	 5420.00
Diesel                                	 03/05/2024	 0021            	 2000            	 90.33     	 180660.00
Diesel                                	 03/05/2024	 0021            	 1000            	 90.33     	 90330.00
Diesel                                	 03/05/2024	 0021            	 550             	 90.33     	 49682.00
Diesel                                	 03/05/2024	 0021            	 450             	 90.33     	 40649.00
Diesel                                	 07/05/2024	 0906            	 68.16           	 90.33     	 6157.00
Diesel                                	 12/05/2024	 7567            	 60              	 90.33     	 5420.00
Diesel                                	 13/05/2024	 0021            	 1000            	 90.33     	 90330.00
Diesel                                	 13/05/2024	 0021            	 200             	 90.33     	 18066.00
Diesel                                	 13/05/2024	 0021            	 200             	 90.33     	 18066.00
Diesel                                	 15/05/2024	 0906            	 62.83           	 90.33     	 5675.00
Diesel                                	 16/05/2024	 0021            	 1500            	 90.44     	 135660.00
Diesel                                	 16/05/2024	 0021            	 400             	 90.44     	 36176.00
Diesel                                	 16/05/2024	 0021            	 1000            	 90.44     	 90440.00
Diesel                                	 24/05/2024	 0906            	 72              	 90.44     	 6512.00
Diesel                                	 26/05/2024	 7426            	 2000            	 90.44     	 180880.00
Diesel                                	 26/05/2024	 7426            	 800             	 90.44     	 72352.00
Diesel                                	 30/05/2024	 0906            	 62              	 90.44     	 5607.00
Diesel                                	 05/06/2024	 7567            	 62.8            	 90.44     	 5680.00
Diesel                                	 05/06/2024	 7426            	 1400            	 90.44     	 126616.00
Diesel                                	 07/06/2024	 7426            	 1400            	 90.44     	 126616.00
Diesel                                	 08/06/2024	 0906            	 68              	 90.44     	 6150.00
Diesel                                	 10/06/2024	 7426            	 2000            	 90.44     	 180880.00
Diesel                                	 14/06/2024	 7426            	 1000            	 90.44     	 90440.00
Diesel                                	 14/06/2024	 7567            	 54              	 90.44     	 4884.00
Diesel                                	 20/06/2024	 7426            	 2000            	 90.44     	 180880.00
Diesel                                	 20/06/2024	 7426            	 1000            	 90.44     	 90440.00
Diesel                                	 20/06/2024	 7567            	 58.65           	 90.44     	 5304.00
Diesel                                	 27/06/2024	 7567            	 58.64           	 90.44     	 5303.00
Diesel                                	 28/06/2024	 7426            	 2000            	 90.44     	 180880.00
Diesel                                	 28/06/2024	 7426            	 1200            	 90.44     	 108528.00
Diesel                                	 08/07/2024	 7567            	 60              	 90.44     	 5426.00
Diesel                                	 14/07/2024	 0906            	 50.87           	 90.44     	 4601.00
Diesel                                	 16/07/2024	 7426            	 1000            	 90.44     	 90440.00
Diesel                                	 16/07/2024	 7426            	 1000            	 90.44     	 90440.00
Diesel                                	 16/07/2024	 7426            	 600             	 90.44     	 54264.00
Diesel                                	 16/07/2024	 7426            	 191             	 90.44     	 17274.00
Diesel                                	 21/07/2024	 0906            	 60.31           	 90.44     	 5454.00
Diesel                                	 28/07/2024	 0906            	 60.43           	 90.44     	 5465.00
Diesel                                	 04/08/2024	 7567            	 49.47           	 90.44     	 4474.00
Diesel                                	 07/08/2024	 0906            	 69.37           	 90.44     	 6274.00
Diesel                                	 08/08/2024	 BERAL           	 2000            	 90.44     	 180880.00
Diesel                                	 15/08/2024	 7567            	 51.53           	 90.44     	 4660.00
Diesel                                	 20/08/2024	 0906            	 64              	 90.44     	 5788.00
Diesel                                	 22/08/2024	 BERAL           	 2200            	 90.44     	 198968.00
Diesel                                	 28/08/2024	 0906            	 58.26           	 90.44     	 5269.00
Diesel                                	 01/09/2024	 7567            	 65              	 90.44     	 5879.00
Diesel                                	 06/09/2024	 0906            	 67.17           	 90.44     	 6075.00
Diesel                                	 11/09/2024	 7567            	 54.2            	 90.44     	 4902.00
Diesel                                	 15/09/2024	 BERAL           	 2000            	 90.44     	 180880.00
Diesel                                	 16/09/2024	 0906            	 65.71           	 90.44     	 5943.00
Diesel                                	 21/09/2024	 7567            	 48.84           	 90.44     	 4417.00
Diesel                                	 22/09/2024	 BERAL           	 2000            	 90.44     	 180880.00
Diesel                                	 25/09/2024	 0906            	 60.65           	 90.44     	 5485.00
Diesel                                	 02/10/2024	 7567            	 64              	 90.44     	 5788.00
Diesel                                	 02/10/2024	 0906            	 59.8            	 90.44     	 5408.00
Diesel                                	 12/10/2024	 7567            	 71              	 90.44     	 6421.00
Diesel                                	 16/10/2024	 0906            	 56.82           	 90.44     	 5139.00
Diesel                                	 17/10/2024	 BERAL           	 2000            	 90.44     	 180880.00
Diesel                                	 21/10/2024	 BERAL           	 2000            	 90.44     	 180880.00
Diesel                                	 06/11/2024	 BERAL           	 2000            	 90.50     	 181000.00
Diesel                                	 08/11/2024	 0906            	 57.85           	 90.50     	 5235.00
Diesel                                	 15/11/2024	 beral           	 2000            	 90.50     	 181000.00
Diesel                                	 18/11/2024	 0906            	 67.91           	 90.50     	 6146.00
Diesel                                	 26/11/2024	 BERAL           	 2000            	 90.50     	 181000.00
Diesel                                	 29/11/2024	 7567            	 62.6            	 90.50     	 5665.00
Petrol                                	 05/12/2024	 C               	 4.76            	 94.80     	 451.00
Diesel                                	 05/12/2024	 BERAL           	 2200            	 90.50     	 199100.00
Diesel                                	 08/12/2024	 0906            	 64              	 90.50     	 5792.00
Diesel                                	 12/12/2024	 4545            	 52.96           	 90.50     	 4793.00
Diesel                                	 12/12/2024	 BERAL           	 2200            	 90.50     	 199100.00
Diesel                                	 15/12/2024	 0906            	 68              	 90.50     	 6154.00
Diesel                                	 20/12/2024	 BERAL           	 2200            	 90.50     	 199100.00
4T 20W-40 - 1Ltr                      	 20/12/2024	 BERAL           	 2               	 300.00    	 600.00
Diesel                                	 23/12/2024	 0906            	 55.81           	 90.50     	 5051.00
Diesel                                	 25/12/2024	 BERAL           	 2000            	 90.50     	 181000.00
Diesel                                	 28/12/2024	 4545            	 54.36           	 90.50     	 4920.00
Diesel                                	 30/12/2024	 0906            	 58.5            	 90.50     	 5294.00
Diesel                                	 30/12/2024	 TENKER          	 2200            	 90.50     	 199100.00
Diesel                                	 04/01/2025	 7567            	 72.74           	 90.50     	 6583.00
Diesel                                	 09/01/2025	 0906            	 61.15           	 90.50     	 5534.00
Diesel                                	 10/01/2025	 BERAL           	 1687.22         	 90.50     	 152693.00
Diesel                                	 18/01/2025	 0906            	 69.66           	 90.50     	 6304.00
Diesel                                	 22/01/2025	 9588            	 11.05           	 90.50     	 1000.00
Diesel                                	 24/01/2025	 BERAL           	 2200            	 90.50     	 199100.00
Diesel                                	 29/01/2025	 0906            	 63.54           	 90.50     	 5750.00
Diesel                                	 01/02/2025	 BERAL           	 1100            	 90.50     	 99550.00
Diesel                                	 01/02/2025	 BERAL           	 1100            	 90.50     	 99550.00
Diesel                                	 04/02/2025	 0906            	 65.61           	 90.50     	 5938.00
Diesel                                	 06/02/2025	 BERAL           	 1000            	 90.50     	 90500.00
Diesel                                	 06/02/2025	 BERAL           	 1200            	 90.50     	 108600.00
Petrol                                	 06/02/2025	 C               	 4.81            	 94.80     	 456.00
Diesel                                	 08/02/2025	 4545            	 60.45           	 90.50     	 5471.00
Diesel                                	 11/02/2025	 C               	 2000            	 90.50     	 181000.00
Diesel                                	 16/02/2025	 BERAL           	 2000            	 90.50     	 181000.00
Diesel                                	 20/02/2025	 BERAL           	 1000            	 90.50     	 90500.00
Diesel                                	 20/02/2025	 BERAL           	 1200            	 90.50     	 108600.00
Diesel                                	 22/02/2025	 7567            	 64.54           	 90.50     	 5841.00
Diesel                                	 25/02/2025	 BERAL           	 1000            	 90.50     	 90500.00
Diesel                                	 25/02/2025	 BERAL           	 1200            	 90.50     	 108600.00
Diesel                                	 26/02/2025	 0906            	 69              	 90.50     	 6245.00
Diesel                                	 02/03/2025	 BERAL           	 1600            	 90.50     	 144800.00
Diesel                                	 07/03/2025	 BERAL           	 2200            	 90.50     	 199100.00
Diesel                                	 08/03/2025	 7567            	 53.66           	 90.50     	 4856.00
Diesel                                	 11/03/2025	 7567            	 57.83           	 90.50     	 5234.00
Diesel                                	 13/03/2025	 0906            	 75              	 90.50     	 6788.00
Diesel                                	 20/03/2025	 BERAL           	 2200            	 90.50     	 199100.00
Petrol                                	 20/03/2025	 C               	 4.75            	 94.80     	 450.00
Diesel                                	 26/03/2025	 0906            	 63.1            	 90.50     	 5711.00
Diesel                                	 26/03/2025	 BERAL           	 2000            	 90.50     	 181000.00
Diesel                                	 26/03/2025	 BERAL           	 200             	 90.50     	 18100.00
Diesel                                	 31/03/2025	 7567            	 50              	 90.50     	 4525.00
To, Chirag Upadhyay                   	           	                 	 Statement Date :	           	 12/05/2025
Petrol                                	 04/04/2024	 4783            	 9               	 94.64     	 852.00
Diesel                                	 06/04/2024	 1489            	 27              	 90.33     	 2439.00
Diesel                                	 08/04/2024	 9191            	 20              	 90.33     	 1807.00
Petrol                                	 11/04/2024	 4783            	 9               	 94.64     	 852.00
Diesel                                	 12/04/2024	 1502            	 221             	 90.33     	 19963.00
Diesel                                	 15/04/2024	 9267            	 34.14           	 90.33     	 3084.00
Diesel                                	 16/04/2024	 9191            	 15              	 90.33     	 1355.00
Diesel                                	 16/04/2024	 8676            	 12.18           	 90.33     	 1100.00
Diesel                                	 17/04/2024	 9105            	 15              	 90.33     	 1355.00
IOC CLEARBLUE  - 20Ltr                	 17/04/2024	 5965            	 1               	 1300.00   	 1300.00
Diesel                                	 21/04/2024	 9191            	 16              	 90.33     	 1445.00
Diesel                                	 22/04/2024	 9105            	 16              	 90.33     	 1445.00
Petrol                                	 22/04/2024	 4783            	 9               	 94.64     	 852.00
Diesel                                	 23/04/2024	 8676            	 43              	 90.33     	 3884.00
Diesel                                	 24/04/2024	 9191            	 18              	 90.33     	 1626.00
Diesel                                	 26/04/2024	 9105            	 17              	 90.33     	 1536.00
Diesel                                	 27/04/2024	 9267            	 38.97           	 90.33     	 3520.00
Diesel                                	 01/05/2024	 9191            	 18              	 90.33     	 1626.00
Diesel                                	 02/05/2024	 9191            	 18              	 90.33     	 1626.00
Petrol                                	 02/05/2024	 4783            	 9               	 94.64     	 852.00
